,U1_Suzuki,L1_Suzuki,N1_Suzuki,H1_Suzuki
L1-NMT,1,1,1,1
L2-NMT,2,2,1,2
L3-NMT,1,1,1,1
L4-NMT,2,2,2,2
L5-NMT,1,1,1,1
L6-NMT,1,1,1,2
L7-NMT,1,1,1,0
L8-NMT,1,0,0,0
L9-NMT,1,0,0,0
L10-NMT,1,0,0,0
L11-NMT,1,0,0,0
L1-TNU,1,1,1,1
L2-TNU,2,2,1,2
L3-TNU,1,1,1,1
L4-TNU,3,3,3,3
L5-TNU,2,3,2,1
L6-TNU,2,3,1,2
L7-TNU,1,1,1,0
L8-TNU,1,0,0,0
L9-TNU,1,0,0,0
L10-TNU,1,0,0,0
L11-TNU,1,0,0,0
L1-NEL,2,2,1,2
L2-NEL,3,3,2,3
L3-NEL,4,4,4,4
L4-NEL,5,6,5,4
L5-NEL,4,6,3,3
L6-NEL,3,4,2,2
L7-NEL,2,1,1,0
L8-NEL,2,0,0,0
L9-NEL,2,0,0,0
L10-NEL,2,0,0,0
L11-NEL,1,0,0,0
L1-NLT,2,2,1,2
L2-NLT,2,2,1,2
L3-NLT,3,3,3,3
L4-NLT,3,4,4,4
L5-NLT,2,3,2,3
L6-NLT,2,2,2,2
L7-NLT,2,1,1,0
L8-NLT,2,0,0,0
L9-NLT,2,0,0,0
L10-NLT,2,0,0,0
L11-NLT,1,0,0,0
L1-NCDSPL,0,0,0,0
L2-NCDSPL,1,1,0,1
L3-NCDSPL,1,1,1,1
L4-NCDSPL,1,1,1,1
L5-NCDSPL,2,3,2,0
L6-NCDSPL,2,3,1,2
L7-NCDSPL,1,1,1,0
L8-NCDSPL,1,0,0,0
L9-NCDSPL,1,0,0,0
L10-NCDSPL,1,0,0,0
L11-NCDSPL,1,0,0,0
L1-Layer Score,6,6,4,6
L2-Layer Score,10,10,5,10
L3-Layer Score,10,10,10,10
L4-Layer Score,14,16,15,14
L5-Layer Score,11,16,10,8
L6-Layer Score,10,13,7,10
L7-Layer Score,7,5,5,0
L8-Layer Score,7,0,0,0
L9-Layer Score,7,0,0,0
L10-Layer Score,7,0,0,0
L11-Layer Score,5,0,0,0
